Nodes,Participant 01,Participant 02,Participant 03,Participant 04,Participant 05,Participant 06,Participant 07,Participant 08,Participant 09,Participant 10,Participant 11,Participant 12,Participant 13,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18,Participant 19,Participant 20,Participant 21,Participant 22,Total
Categories,2,0,2,0,0,1,0,1,2,0,2,2,4,0,3,4,3,0,3,0,0,0,29
heirarchy,6,2,3,7,0,0,2,1,2,1,0,2,14,17,33,20,18,24,16,27,29,18,242
Total,8,2,5,7,0,1,2,2,4,1,2,4,18,17,36,24,21,24,19,27,29,18,271
